S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (μS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
354,Bihar,Begusarai,Badalpura,86.1573,25.3792,2023,7.98,830,0,403,36,0.18,29,7,0,380,64,53,12,5,-,-,0
355,Bihar,Begusarai,Heera Tola,86.4432,25.4626,2023,7.97,848,0,366,43,0.36,57,7,0,380,62,55,14,10,-,-,9.26
356,Bihar,Begusarai,New Jafar,86.3754,25.426,2023,8.01,1042,0,427,57,0.79,63,27,0,465,86,61,21,10,-,-,4.66
357,Bihar,Begusarai,Raghunathpur,86.4424,25.4414,2023,7.75,1213,0,531,85,0.21,38,17,0,485,114,49,45,17,-,-,3.19
358,Bihar,Begusarai,Sabdalpur,86.4343,25.4256,2023,7.82,829,0,384,36,0.28,26,24,0,370,58,55,14,12,-,-,4.63
359,Bihar,Begusarai,Bintoli* Kalayanpur,86.4179,25.426,2023,7.94,987,0,439,50,0.21,43,21,0.17,390,80,46,46,5,-,-,0
360,Bihar,Begusarai,Teghra,85.9483,25.4832,2023,7.92,924,0,421,57,0.37,37,1,0.16,405,76,52,22,6,-,-,0
361,Bihar,Begusarai,Dularpur,85.9242,25.5137,2023,7.74,768,0,403,21,0.28,24,0,0.07,360,62,50,10,0,-,-,2.35
362,Bihar,Bhagalpur,Bhagalpur,86.9792,25.2292,2023,7.68,741,0,342,21,0.91,55,2,0.12,295,42,46,34,1,-,-,0
363,Bihar,Bhagalpur,Bihpur,86.9416,25.3916,2023,7.81,661,0,214,89,0.09,26,1,0,285,60,33,21,1,-,-,1.45
364,Bihar,Bhagalpur,Marwa,86.9221,25.3988,2023,7.76,686,0,262,75,0,20,4,0,305,60,38,16,1,-,-,9.54
365,Bihar,Bhagalpur,Harchandpur,87.3361,25.2394,2023,7.85,1301,0,360,178,0.43,95,3,0,440,68,66,91,11,-,-,0.99
366,Bihar,Bhagalpur,Jagnathpur,87.2808,25.2642,2023,8.05,920,0,360,50,0.38,60,40,0,350,56,51,49,1,-,-,0
367,Bihar,Bhagalpur,Jagdishpur,86.9833,25.1625,2023,7.73,1212,0,488,89,0.29,79,0,0,330,30,62,122,7,-,-,0
368,Bihar,Bhagalpur,Ghoga,87.1651,25.1552,2023,7.94,1505,0,305,277,0.25,101,9,0,520,118,55,100,12,-,-,0
369,Bihar,Bhagalpur,Kahalgaon,87.2417,25.2542,2023,7.64,873,0,256,85,0.25,66,44,0.16,265,56,30,71,15,-,-,2.21
370,Bihar,Bhagalpur,Ramchandrapur Navtoliya,86.89,25.2367,2023,8.03,1684,0,427,206,0.45,101,119,0,605,68,106,101,15,-,-,0
371,Bihar,Bhagalpur,Naugachia,87.1068,25.3858,2023,7.68,927,0,262,146,0.26,40,4,0,365,58,53,44,1,-,-,0.19
372,Bihar,Bhagalpur,Pirpainti,87.4194,25.8363,2023,8.18,1112,0,348,135,0.31,76,1,0,345,56,50,93,7,-,-,0
373,Bihar,Bhagalpur,Madrauni Chowk,87.1713,25.3977,2023,7.94,774,0,250,107,0.28,30,0,0,320,50,47,29,1,-,-,10.11
374,Bihar,Bhagalpur,Nayatola Agarpur,87.0436,25.1811,2023,8.09,1215,0,378,135,0.25,75,32,0,315,52,45,126,15,-,-,0.77
375,Bihar,Bhagalpur,Sabaur,87.046,25.246,2023,7.94,1505,0,580,99,0.49,117,15,0,460,126,35,122,20,-,-,2.64
376,Bihar,Bhagalpur,Shahkund,86.8125,25.175,2023,7.91,842,0,201,99,0.75,81,37,0.17,265,70,22,65,14,-,-,0
377,Bihar,Bhagalpur,Sonhaula,87.1622,25.0897,2023,7.85,665,0,281,43,0.31,41,4,0,230,66,16,47,2,-,-,12.51
378,Bihar,Bhagalpur,Akbarnagar,86.8083,25.225,2023,8.02,955,0,238,128,0.58,67,37,0,390,98,35,38,2,-,-,2.46
379,Bihar,Bhagalpur,Sultanganj,86.7,25.2417,2023,7.76,1021,0,329,85,0.43,80,46,0,310,78,28,79,22,-,-,0
380,Bihar,Bhojpur,Haswadih,84.4027,25.407,2023,8.12,671,0,232,71,0.59,32,10,0,270,56,32,29,5,-,-,0
381,Bihar,Bhojpur,Jarawarpur Milki,84.5342,25.5953,2023,8.01,582,0,287,21,0.48,20,1,0,205,50,19,39,4,-,-,0
382,Bihar,Bhojpur,Milki (Milki Dera),84.625,25.6751,2023,7.96,436,0,226,18,0.95,7,0,0,195,18,36,9,1,-,-,0
383,Bihar,Bhojpur,Chandawa,84.6371,25.5603,2023,8.18,449,0,207,25,0.55,9,6,0,185,36,23,16,3,-,-,0
384,Bihar,Bhojpur,Bakhorapur,84.6918,25.6681,2023,8.06,428,0,195,25,0.82,11,4,0,180,48,15,15,2,-,-,4.39
385,Bihar,Bhojpur,Balua,84.5599,25.6607,2023,7.99,841,0,378,28,0.6,52,21,0,335,62,44,36,5,-,-,0
386,Bihar,Bhojpur,Barahara,84.7291,25.683,2023,7.88,645,0,214,53,0.54,47,24,0.21,215,40,28,49,3,-,-,0
387,Bihar,Bhojpur,Baruna,84.6041,25.3192,2023,8.11,798,0,250,82,0.4,61,21,0.05,325,78,32,32,2,-,-,0
388,Bihar,Bhojpur,Dhusaria,84.7735,25.6714,2023,7.94,829,0,207,114,0.91,50,35,0,315,58,41,44,7,-,-,2.94
389,Bihar,Bhojpur,Ekauna,84.7383,25.6872,2023,8.11,664,0,250,67,0.63,29,4,0.16,285,60,33,20,3,-,-,2.36
390,Bihar,Bhojpur,Farhda,84.6562,25.685,2023,8.08,661,0,226,57,0.6,44,21,0,265,58,29,31,1,-,-,0
391,Bihar,Bhojpur,Jagatpur,84.5981,25.6749,2023,8.13,427,0,195,28,0.88,8,1,0,195,40,23,9,2,-,-,0.39
392,Bihar,Bhojpur,Simariya,84.7239,25.6724,2023,8.13,426,0,214,18,0.71,12,1,0,185,36,23,12,1,-,-,0
393,Bihar,Bhojpur,Bihiya (Dogra),84.4709,25.5842,2023,8.15,652,0,256,50,0.61,36,12,0,265,56,30,26,3,-,-,2.74
394,Bihar,Bhojpur,Garhani (Nahsi),84.558,25.421,2023,7.98,467,0,226,18,0.98,9,16,0,210,24,36,9,1,-,-,1.4
395,Bihar,Bhojpur,Dulaur,84.4435,25.4752,2023,7.98,411,0,153,32,0.61,16,25,0,135,24,18,32,3,-,-,6.39
396,Bihar,Bhojpur,Jagdishpur1,84.4156,25.4753,2023,7.87,515,0,201,53,0.63,13,5,0,200,40,24,24,2,-,-,2.72
397,Bihar,Bhojpur,Inglishpur,84.7837,25.6458,2023,7.93,387,0,183,18,0.71,11,9,0,160,26,23,14,1,-,-,0
398,Bihar,Bhojpur,Kulharia,84.7736,25.5753,2023,8.18,459,0,122,50,0.65,34,26,0,170,22,28,28,1,-,-,0
399,Bihar,Bhojpur,Lodhipur,84.7341,25.5119,2023,7.81,841,0,275,82,0.53,54,30,0,330,88,27,39,3,-,-,0.23
400,Bihar,Bhojpur,Mokhlisa,84.7501,25.6035,2023,8.05,706,0,183,121,0.48,20,10,0,285,28,52,30,3,-,-,0.11
401,Bihar,Bhojpur,Muhammadpur,84.7878,25.615,2023,8.01,646,0,207,57,0.63,62,12,0.1,270,66,26,21,5,-,-,1
402,Bihar,Bhojpur,Pachrukhiya,84.7889,25.6527,2023,8.04,770,0,232,82,0.85,59,18,0,335,70,39,23,2,-,-,0
403,Bihar,Bhojpur,Sakkadi,84.7538,25.5841,2023,8.14,449,0,165,39,0.96,27,0,0,185,22,32,19,1,-,-,0
404,Bihar,Bhojpur,Songhata,84.7631,25.6086,2023,7.84,1155,0,397,124,0.53,48,30,0,400,82,47,65,29,-,-,0
405,Bihar,Bhojpur,Birampur,84.725,25.6035,2023,8.18,778,0,311,46,0.51,62,5,0,340,78,35,20,3,-,-,0.56
406,Bihar,Bhojpur,Giddha,84.747,25.5868,2023,8.09,488,0,207,36,0.58,17,2,0,230,42,30,7,1,-,-,0
407,Bihar,Bhojpur,Nonar,84.3808,25.2864,2023,7.94,303,0,134,21,0.83,11,0,0,110,34,6,17,3,-,-,0.03
408,Bihar,Bhojpur,Guljarpur,84.5973,25.26,2023,8.03,380,0,177,21,0.35,11,6,0.05,165,30,22,10,1,-,-,0
409,Bihar,Bhojpur,Kori,84.6891,25.3951,2023,7.85,1033,0,329,117,0.6,46,42,0,405,90,44,49,3,-,-,0
410,Bihar,Bhojpur,Nasratpur,84.75,25.4492,2023,7.75,581,0,214,43,0.6,34,21,0,270,62,28,10,1,-,-,0
411,Bihar,Bhojpur,Pauna,84.6288,25.4066,2023,8.05,1359,0,415,170,1.05,74,27,0.01,490,104,56,69,28,-,-,3.68
412,Bihar,Bhojpur,Sandesh,84.738,25.4057,2023,7.93,1544,0,506,217,0.81,44,3,0,590,130,64,68,27,-,-,1.76
413,Bihar,Bhojpur,Karnempur,84.3614,25.6675,2023,7.97,1232,0,384,149,0.55,50,51,0,435,92,50,67,25,-,-,11.03
414,Bihar,Bhojpur,Akrunj,84.396,25.2063,2023,8.18,340,0,159,11,0.62,10,15,0,145,26,19,12,3,-,-,1.03
415,Bihar,Bhojpur,Kusumhi,84.3681,25.23,2023,8.21,361,0,159,18,0.93,16,4,0,155,16,28,11,3,-,-,0
416,Bihar,Bhojpur,Harnath Kundi,84.572,25.5725,2023,7.99,636,0,293,36,0.46,21,3,0,255,58,27,29,2,-,-,0.2
417,Bihar,Bhojpur,Kasap,84.6072,25.4754,2023,8.11,655,0,268,46,0.51,26,15,0,285,28,52,20,1,-,-,0
418,Bihar,Bhojpur,Sasaram Chota,84.5248,25.5696,2023,8.07,437,0,195,36,0.43,8,3,0,175,40,18,19,1,-,-,0
419,Bihar,Bhojpur,Udwantnagar,84.6253,25.5002,2023,7.94,1120,0,372,156,0.63,26,5,0,410,120,27,58,20,-,-,0
420,Bihar,Buxar,Bagen Bazar,84.2928,25.5014,2023,8.18,426,0,207,14,0.66,10,15,0,150,46,9,28,1,-,-,1.64
421,Bihar,Buxar,Hathilpur,84.3178,25.6323,2023,8.04,421,0,195,18,0.07,9,20,0,180,58,9,11,9,-,-,1.24
422,Bihar,Buxar,Jugia Dera,84.2552,25.5934,2023,7.84,443,0,238,14,0.49,3,4,0,100,38,1,55,1,-,-,3.36
423,Bihar,Buxar,Khochariwan,84.2738,25.5233,2023,7.82,475,0,244,14,0.72,4,16,0,180,46,16,25,1,-,-,4.03
424,Bihar,Buxar,Mharajgunj,84.3406,25.6098,2023,7.94,562,0,287,21,0.44,7,11,0,210,50,21,31,1,-,-,1.32
425,Bihar,Buxar,Raghunathpur,84.3024,25.5666,2023,7.88,1300,0,482,138,0.44,39,28,0,285,84,18,164,6,-,-,0.36
426,Bihar,Buxar,Brahmpur,84.3061,25.6078,2023,7.93,731,0,293,64,0.39,23,16,0,230,58,21,60,2,-,-,1.62
427,Bihar,Buxar,Buxar,83.9794,25.5643,2023,8.03,555,0,299,11,0.56,10,9,0,145,50,5,59,2,-,-,2.82
428,Bihar,Buxar,Churamanpur Dw,84.0237,25.5877,2023,7.95,529,0,256,32,0.06,10,1,0,150,46,9,50,4,-,-,0.34
429,Bihar,Buxar,Danikutia,83.932,25.5467,2023,7.85,667,0,311,39,0.54,17,8,0,225,60,18,48,1,-,-,2.82
430,Bihar,Buxar,Dudharchak,84.0557,25.6174,2023,7.68,526,0,299,11,0.14,4,1,0,185,50,15,34,3,-,-,0
431,Bihar,Buxar,Kritpur,83.9416,25.5487,2023,7.7,1105,0,525,67,0.8,20,9,0.1,300,44,46,106,15,-,-,25.64
432,Bihar,Buxar,Mishrvalia,83.9145,25.534,2023,7.93,1758,0,567,259,0.7,20,36,0.16,640,108,90,107,4,-,-,4.73
433,Bihar,Buxar,Ramobariya,84.0553,25.6067,2023,7.84,619,0,354,11,0.26,6,1,0,160,52,7,67,3,-,-,4.25
434,Bihar,Buxar,Thodagaon,83.9491,25.5527,2023,8.05,499,0,250,18,0.44,12,10,0,140,46,6,48,2,-,-,0.47
435,Bihar,Buxar,Bhariyar,84.24,25.609,2023,7.96,400,0,171,18,0.15,17,23,0,155,50,7,16,6,-,-,1.54
436,Bihar,Buxar,Chaungai Sundarsingh,84.2384,25.473,2023,7.96,505,0,262,18,0.44,11,2,0.12,150,30,18,46,1,-,-,6.23
437,Bihar,Buxar,Chausa,83.89,25.5107,2023,8.21,1008,0,519,28,0.56,18,20,0.11,210,32,32,101,58,-,-,19.8
438,Bihar,Buxar,Dumraon,84.1388,25.5813,2023,8.13,553,0,232,43,0.41,14,12,0,125,46,2,70,1,-,-,0
439,Bihar,Buxar,"Dumrawn Thatheri Bazar, Dakhin Tola",84.1503,25.549,2023,7.97,419,0,226,14,0.46,2,4,0,150,48,7,25,2,-,-,2.56
440,Bihar,Buxar,Mahila,84.0395,25.4698,2023,7.71,601,0,305,21,0.54,7,11,0,140,48,5,75,1,-,-,3.86
441,Bihar,Buxar,Kesath ( Pokhratola),84.2489,25.4125,2023,8.01,3098,0,970,497,0.46,43,8,0.27,845,106,141,272,91,-,-,20.6
442,Bihar,Buxar,Athar Bintoli,84.1852,25.4414,2023,7.88,405,0,207,18,0.24,4,3,0,125,40,6,33,1,-,-,0.43
443,Bihar,Buxar,Rajpur,84.1292,25.6847,2023,8.02,3055,0,830,543,0.71,44,49,0.26,840,190,89,290,43,-,-,13.4
444,Bihar,Buxar,Barka Rajpur,84.1292,25.6847,2023,8.05,695,0,336,43,0.21,0,18,0,260,70,21,36,5,-,-,0.87
445,Bihar,Buxar,Dumri,84.1831,25.634,2023,8.17,427,0,220,18,0.16,7,3,0,145,36,13,28,4,-,-,0
446,Bihar,Buxar,Durasan,84.1735,25.6094,2023,7.93,372,0,177,21,0.23,11,1,0,125,36,9,26,2,-,-,1.23
447,Bihar,Buxar,Karathar,84.184,25.651,2023,8.03,540,0,201,39,0.13,24,35,0,205,40,26,24,9,-,-,0.16
448,Bihar,Buxar,Manikpur,84.0929,25.6725,2023,8.13,390,0,214,11,0.22,1,1,0,145,50,5,21,5,-,-,2.03
449,Bihar,Buxar,Neazipur,84.1542,25.6706,2023,7.99,416,0,232,11,0.16,0,8,0,155,46,10,23,4,-,-,0.84
450,Bihar,Buxar,Sohiar,84.158,25.662,2023,7.87,829,0,305,78,0.07,23,39,0,225,58,19,76,17,-,-,0.73
451,Bihar,Buxar,Kopwa,84.1673,25.5018,2023,7.85,250,0,122,14,0.26,2,5,0,105,40,1,8,0,-,-,0
452,Bihar,Darbhanga,Bilaspur,85.8793,26.0211,2023,8.29,504,0,277,7,0.77,9,3,0,160,34,18,49,2,-,-,5.9
453,Bihar,Darbhanga,Motipur Antour,86.1668,26.066,2023,8.18,592,0,326,7,0.71,10,5,0,115,20,16,80,2,-,-,2.51
454,Bihar,Darbhanga,Baheri,86.0508,25.9507,2023,8.27,823,0,387,50,0.3,10,5,0,255,50,32,64,2,-,-,6.41
455,Bihar,Darbhanga,Bithauli,86.0875,26.0111,2023,8.25,625,0,388,7,0.53,7,6,0,90,24,7,106,1,-,-,7.36
456,Bihar,Darbhanga,Jorja,85.989,26.0125,2023,8.14,733,0,412,11,0.39,12,6,0,125,24,16,114,1,-,-,6.3
457,Bihar,Darbhanga,Bahera,86.132,26.0752,2023,8.21,1194,0,510,117,1.18,43,9,0,305,44,47,114,1,-,-,4.82
458,Bihar,Darbhanga,Bheruk,86.1653,26.0527,2023,8.15,1290,0,504,106,1.02,87,28,0,380,20,80,114,2,-,-,3.16
459,Bihar,Darbhanga,Afzala Balia,86.2313,25.9297,2023,8.39,1406,6,677,89,0.68,30,8,0,320,56,44,124,6,-,-,2.1
460,Bihar,Darbhanga,Darbhanga,85.9088,26.1696,2023,8.25,1035,0,449,85,0.5,23,5,0,260,52,32,109,17,-,-,3.7
461,Bihar,Darbhanga,Bouram,86.3175,25.9748,2023,8.14,688,0,394,14,0,12,5,0,250,52,29,32,3,-,-,4.8
462,Bihar,Darbhanga,Ghanshyampur,86.326,26.0616,2023,8.27,671,0,357,18,1.05,14,5,0,90,20,10,114,1,-,-,4.3
463,Bihar,Darbhanga,Okra,85.8092,26.0373,2023,7.76,483,0,221,14,0,12,4,0,90,20,10,61,3,-,-,2.35
464,Bihar,Darbhanga,Hayaghat,85.8877,26.0106,2023,8.37,715,9,381,7,0.69,9,4,0.03,190,34,26,62,38,-,-,7.6
465,Bihar,Darbhanga,Pouram,85.8916,26.0195,2023,7.54,1001,0,381,121,0.23,47,10,0,270,28,49,96,4,-,-,9.51
466,Bihar,Darbhanga,Rustampur,85.8811,26.016,2023,8.23,393,0,203,11,0,8,5,0,100,30,6,53,1,-,-,9.77
467,Bihar,Darbhanga,Keoty,85.9416,26.2901,2023,8.11,1005,0,412,67,0.81,27,4,0,290,52,39,85,48,-,-,4.9
468,Bihar,Darbhanga,Pindaruch,85.8413,26.2375,2023,7.93,1323,0,535,128,0.82,71,12,0,310,22,62,114,30,-,-,3.8
469,Bihar,Darbhanga,Rasiyari,86.3478,26.0452,2023,8.07,601,0,277,11,0.86,6,3,0,90,28,5,94,1,-,-,2.9
470,Bihar,Darbhanga,Asho,86.2447,25.8747,2023,8.29,465,0,271,11,0.87,7,8,0,125,36,9,57,3,-,-,3.24
471,Bihar,Darbhanga,Sakri,86.0773,26.2238,2023,8.2,776,0,308,50,0.74,41,7,0,305,36,52,34,2,-,-,5.59
472,Bihar,Darbhanga,Simri,85.7432,26.1675,2023,8.18,439,0,215,14,0.68,12,4,0,145,38,12,30,4,-,-,2.35
473,Bihar,Darbhanga,Nabbi Chowk,86.1865,26.1538,2023,8.19,676,6,375,7,0.74,7,5,0,135,30,15,106,1,-,-,5.5
474,Bihar,Darbhanga,Tardih,86.2513,26.1467,2023,8.34,598,6,332,11,0,8,5,0,75,26,2,94,1,-,-,1.79
475,Bihar,East Chamapran,Shyampur,84.9479,26.9199,2023,7.99,508,0,275,18,0.59,4,0,0,200,70,6,24,1,-,-,0
476,Bihar,East Chamapran,Govindganj,84.6533,26.4985,2023,7.93,714,0,403,11,0.53,13,0,0,230,58,21,56,3,-,-,0.67
477,Bihar,East Chamapran,Radia,84.6251,26.5544,2023,7.79,556,0,305,14,0.41,5,0,0,230,68,15,21,4,-,-,0
478,Bihar,East Chamapran,Banjaria Thana,84.8928,26.6734,2023,7.95,473,0,250,11,0.69,16,0,0,160,36,17,33,3,-,-,5.06
479,Bihar,East Chamapran,Mathia Bhopat,85.0136,26.7528,2023,8.24,876,0,354,82,0.73,31,1,0,300,64,34,57,8,-,-,3.48
480,Bihar,East Chamapran,Chakia 1,84.9439,26.5506,2023,7.85,1032,0,512,14,0.73,74,1,0.11,385,70,51,59,2,-,-,0
481,Bihar,East Chamapran,Uttari Gavandra,85.0221,26.3554,2023,8.03,610,0,311,11,0.21,30,6,0,270,64,27,9,10,-,-,0.38
482,Bihar,East Chamapran,Belai,85.073,26.7032,2023,8.09,1525,0,476,195,0.53,90,5,0,460,90,57,123,29,-,-,0
483,Bihar,East Chamapran,Chaita,85.0871,26.5316,2023,7.95,996,0,421,64,0.79,61,1,0,345,120,11,63,12,-,-,0
484,Bihar,East Chamapran,Chiraiya,85.0889,26.69,2023,8.21,722,0,366,39,0.32,6,2,0,290,94,13,30,3,-,-,0.74
485,Bihar,East Chamapran,Mohabbatpur Dhaka,85.1651,26.6739,2023,7.99,631,0,275,46,0.41,25,1,0,225,70,12,40,2,-,-,0.97
486,Bihar,East Chamapran,Bhakatiy Tola,85.1092,26.7862,2023,7.82,744,0,415,18,0.73,6,1,0,260,80,15,52,1,-,-,0
487,Bihar,East Chamapran,Ghorasahan,85.1295,26.8165,2023,7.95,2153,0,415,451,0.58,89,12,0.24,690,198,47,172,10,-,-,5.69
488,Bihar,East Chamapran,Murarpur (Pawaria Tola),84.7989,26.5925,2023,7.79,448,0,238,11,0.38,13,1,0,205,48,21,5,4,-,-,3.97
489,Bihar,East Chamapran,Sheoraha,84.6777,26.5788,2023,7.88,604,0,256,21,0.17,60,0,0,270,82,16,11,4,-,-,0
490,Bihar,East Chamapran,Dharampur,84.9247,26.4229,2023,8.18,705,0,378,14,0.55,22,0,0,320,60,41,9,9,-,-,6.34
491,Bihar,East Chamapran,Rajpur,84.8924,26.3866,2023,8.09,621,0,317,7,0.35,39,0,0,265,58,29,19,3,-,-,2.06
492,Bihar,East Chamapran,Kizerpura,84.8124,26.3713,2023,8.14,904,0,421,32,0.33,60,0,0,340,76,36,49,3,-,-,0
493,Bihar,East Chamapran,Lala Chapra,84.8554,26.3347,2023,8.21,853,0,415,32,0.28,42,1,0,340,82,33,37,5,-,-,1.87
494,Bihar,East Chamapran,Rampur Kajuria Bazar,84.7682,26.3909,2023,8,1013,0,397,25,0.22,142,0,0,375,106,27,58,3,-,-,0
495,Bihar,East Chamapran,Hussaini,84.7807,26.3764,2023,8.03,765,0,409,14,0.23,28,0,0.05,305,60,38,33,2,-,-,0
496,Bihar,East Chamapran,Dipau,84.8314,26.506,2023,8.21,644,0,317,25,0.41,23,3,0,300,76,27,6,6,-,-,0.17
497,Bihar,East Chamapran,Pir Mohalla,85.1342,26.4374,2023,8.22,1410,0,464,128,0.63,118,29,0,380,104,29,135,23,-,-,6.25
498,Bihar,East Chamapran,Kasba Mehsi,85.1188,26.3564,2023,8.18,1956,0,604,202,0.58,169,29,0.16,535,104,67,189,24,-,-,3.71
499,Bihar,East Chamapran,Chaudadanu,85.0049,26.8304,2023,7.88,554,0,299,14,0.39,7,1,0,205,66,10,34,1,-,-,6.77
500,Bihar,East Chamapran,Lakhwara,84.9775,26.7587,2023,8,502,0,268,14,0.81,9,1,0,155,46,10,42,2,-,-,9.61
501,Bihar,East Chamapran,Bishunpur Matiyarwan,84.5796,26.6631,2023,8.08,1022,0,439,53,0.48,69,1,0.09,410,118,28,40,11,-,-,0.97
502,Bihar,East Chamapran,Pakridayal,85.0576,26.5523,2023,7.76,515,0,293,7,0.18,10,0,0,120,26,13,61,2,-,-,0
503,Bihar,East Chamapran,Patahi,85.1484,26.3694,2023,7.91,798,0,342,53,0.2,39,2,0,305,82,24,30,25,-,-,0.15
504,Bihar,East Chamapran,Khan Pipra,85.1597,26.4734,2023,7.83,763,0,439,11,0.28,6,3,0,190,68,5,86,3,-,-,0
505,Bihar,Jhakra,,84.9429,26.5506,2023,7.99,835,0,433,36,0.55,6,8,0,245,92,4,68,17,-,-,0
506,Bihar,Raghunathpur,,84.8295,26.9157,2023,7.9,411,0,214,18,0.19,6,0,0,160,52,7,19,3,-,-,0
507,Bihar,Raxaul,,84.8555,26.99,2023,7.81,392,0,207,14,0.31,4,0,0,145,52,4,24,2,-,-,0
508,Bihar,Dubey Tola,,84.7562,26.532,2023,8.19,1106,0,427,71,0.35,94,3,0.06,345,86,32,91,10,-,-,0
509,Bihar,Dumaria,,84.7494,26.4056,2023,7.95,738,0,409,11,0.11,20,0,0,250,52,29,52,4,-,-,0.31
510,Bihar,Chapwa (Sugauli),,84.7519,26.7323,2023,7.79,1536,0,531,181,0.25,71,7,0.11,475,142,29,117,30,-,-,0
511,Bihar,Nakardewa,,85.2337,26.3721,2023,7.99,702,0,390,14,0.19,10,4,0,315,82,27,14,4,-,-,3.01
512,Bihar,Bairiya Bazar,,84.8432,26.6099,2023,7.83,829,0,458,25,0.31,3,2,0,355,98,27,22,9,-,-,1.06
513,Bihar,Harpur Nawada,,84.788,26.5807,2023,8.21,675,0,360,14,0.43,21,0,0,285,82,19,20,5,-,-,0
514,Bihar,Akauna,,84.7756,24.5756,2023,8.12,993,0,421,107,2.21,27,8,0,325,122,5,95,0,-,-,23
515,Bihar,Guraru,,84.7836,24.8017,2023,8.09,1477,0,451,202,1.94,72,4,0,375,104,28,159,11,-,-,0
516,Bihar,Sahora,,85.2033,24.9439,2023,8.07,631,0,305,25,1.7,19,18,0,240,62,21,32,11,-,-,3.5
517,Bihar,Banke Bazar,,84.6667,24.5169,2023,7.78,665,0,220,75,1.94,14,2,0,115,26,12,83,7,-,-,1.2
518,Bihar,Bhadeya,,84.9536,24.5186,2023,7.96,557,0,238,50,1.9,10,5,0,205,76,4,32,3,-,-,3.2
519,Bihar,Dangra More,,85.1141,24.9658,2023,7.62,744,0,244,78,1.71,19,23,0,225,82,5,57,2,-,-,5.8
520,Bihar,Madhobigha,,85.2641,24.985,2023,8.03,1115,0,244,181,1.48,114,14,0,410,116,29,83,1,-,-,0
521,Bihar,Bhalua,,85.0119,24.9814,2023,8.13,505,0,250,28,1.58,12,1,0,150,42,11,46,3,-,-,0
522,Bihar,Bodh Gaya,,85.3005,24.8985,2023,7.82,616,0,214,67,1.56,18,10,0,175,68,1,52,10,-,-,0
523,Bihar,Dobhi,,84.9183,24.5319,2023,7.78,1022,0,409,92,1.72,42,21,0,295,98,12,110,0,-,-,0
524,Bihar,Magra,,84.4856,24.4336,2023,7.74,1326,0,354,206,1.6,79,12,0,410,124,24,103,34,-,-,0
525,Bihar,Fatehpur,,85.2292,24.6417,2023,8.1,590,0,244,43,1.55,24,3,0,245,58,24,23,0,-,-,3.1
526,Bihar,Bithosharif,,85.0105,24.8439,2023,7.6,1547,0,519,188,1.45,56,23,0,550,184,22,96,9,-,-,12
527,Bihar,Chand Chowra Chowk,,85.1141,24.9658,2023,7.63,981,0,305,110,2.01,32,19,0,220,58,18,106,8,-,-,8.3
528,Bihar,Ram Kund,,85.0156,24.8117,2023,8,1393,0,403,199,1.82,65,2,0,310,108,10,161,16,-,-,0
529,Bihar,Sangat Gali,,84.9997,24.7825,2023,7.89,515,0,220,28,1.5,16,21,0,180,58,9,34,2,-,-,0
530,Bihar,Raghunath Khap,,84.7667,24.6836,2023,7.7,1256,0,366,170,1.33,68,22,0,260,82,13,173,0,-,-,7.5
531,Bihar,Baseta,,84.5358,24.4353,2023,7.67,1175,0,342,142,1.78,58,23,0,375,110,24,79,12,-,-,5.3
532,Bihar,Tarapur,,85.1141,24.9658,2023,7.75,1200,0,323,170,1.58,61,23,0,450,126,33,61,8,-,-,8.3
533,Bihar,Konch,,84.7678,24.9181,2023,7.8,2685,0,683,355,0.8,226,25,0,790,208,66,225,29,-,-,6.3
534,Bihar,Chanadih,,85.3005,24.8985,2023,7.71,634,0,232,71,1,27,10,0,230,70,13,44,0,-,-,0
535,Bihar,Wazirganj,,85.2208,24.8042,2023,8.12,2026,0,616,284,1.44,115,22,0,290,66,30,345,6,-,-,0
536,Bihar,Dekoli Bazar,,84.6912,26.3034,2023,7.94,595,0,357,11,0.77,15,0,0,275,56,33,11,2,-,-,0
537,Bihar,Manjhwalia,,84.6866,26.2871,2023,7.01,932,0,418,8,0.84,98,0,0,340,82,33,69,3,-,-,5.77
538,Bihar,Baruli,,84.5896,26.3886,2023,7.99,585,0,308,11,0.8,32,0,0,215,66,12,29,3,-,-,2.07
539,Bihar,Rampur,,84.6402,26.4057,2023,8.03,851,0,437,39,0.92,17,3,0,350,88,32,36,5,-,-,1.73
540,Bihar,Bhore,,84.106,26.4475,2023,7.88,1319,0,437,113,0.3,70,27,0,440,60,70,101,7,-,-,5.78
541,Bihar,Misirbatha,,84.2068,26.4392,2023,7.94,1096,0,400,121,0.45,43,24,0,450,70,67,43,2,-,-,5
542,Bihar,Bijaipur,,84.0326,26.4735,2023,8.17,505,0,271,25,0.76,17,1,0,230,64,17,12,2,-,-,0
543,Bihar,Chanwabe,,84.3762,26.4033,2023,8.26,512,0,277,11,0.79,8,0,0,230,40,32,22,2,-,-,0
544,Bihar,Turkaha,,84.4286,26.4572,2023,8.1,588,0,289,18,0.81,22,8,0,235,56,23,18,3,-,-,7.29
545,Bihar,Yadavpur Sukal,,84.4354,26.5259,2023,7.74,1029,0,320,152,0.95,61,1,0,400,100,36,30,8,-,-,0
